compound,flashpoint,pure substance,smiles,source,is_silicon,is_metallic,is_tin,is_acid
"2,2,4,4,6,6,8,8,10,10-decamethyl-1,3,5,7,9,2,4,6,8,10-pentaoxapentasilecane",346.15,1,C[Si]1(O[Si](O[Si](O[Si](O[Si](O1)(C)C)(C)C)(C)C)(C)C)C,pubchem,1,1,0,0
"2,2,4,4,6,6,8,8,10,10,12,12-dodecamethyl-1,3,5,7,9,11-hexaoxa-2,4,6,8,10,12-hexasilacyclododecane",364.15,1,C[Si]1(O[Si](O[Si](O[Si](O[Si](O[Si](O1)(C)C)(C)C)(C)C)(C)C)(C)C)C,pubchem,1,1,0,0
Hexadecamethylheptasiloxane,406.15,1,C[Si](O[Si](O[Si](O[Si](O[Si](O[Si](O[Si](C)(C)C)(C)C)(C)C)(C)C)(C)C)(C)C)(C)C,chen14,1,1,0,0
Dimethylchlorosilane,245.15,1,C[SiH](Cl)C,chen14,1,1,0,0
Trichlorosilane,245.15,1,Cl[SiH](Cl)Cl,chen14,1,1,0,0
Dichlorosilane,236.15,1,Cl[SiH2]Cl,chen14,1,1,0,0
Dichloromethylmethyldichlorosilane,301.15,1,ClC(Cl)[Si](Cl)(Cl)C,chen14,1,1,0,0
Dimethyldichlorosilane,257.15,1,C[Si](Cl)(Cl)C,chen14,1,1,0,0
Allyltrichlorosilane,304.15,1,C(C=C)[Si](Cl)(Cl)Cl,chen14,1,1,0,0
3-Chloropropyltrichlorosilane,357.15,1,ClCCC[Si](Cl)(Cl)Cl,chen14,1,1,0,0
Bromomethyldimethylchlorosilane,314.15,1,BrC[Si](Cl)(C)C,chen14,1,1,0,0
Chloromethyldimethylchlorosilane,295.15,1,ClC[Si](Cl)(C)C,chen14,1,1,0,0
